Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,price_per_1000_moves,moe_price_per_1000_moves,average_time_per_game_seconds,moe_average_time_per_game_seconds,abnormal_finishes_total,abnormal_finishes_percent,abnormal_too_many_wrong_actions_count,abnormal_too_many_wrong_actions_percent,abnormal_max_turns_count,abnormal_max_turns_percent,abnormal_unknown_issue_count,abnormal_unknown_issue_percent,abnormal_error_count,abnormal_error_percent
gpt-5-nano-2025-08-07-high,33,29,1,3,87.879,9.091,60.97,18.736,2012,2,21,0.994,10.437,11.431,8.428,31.152,12.121,19.031,3.333,10237.149,510.524,0.111,0.098,0.058,0.924,0.075,0.953,0.051,0.975,0.049,1,3.03,0.058,32,96.97,0.058,0.25046,0.07725,4.06045,0.20486,2638.85,806.11,1,3.03,0,0.0,1,3.03,0,0.0,0,0.0
ring-mini-2.0@q8_0,33,0,33,0,0.0,0.0,3.333,0.881,110,10,7,90.909,63.636,154.545,110.067,39,39,0.0,0.0,7882.255,901.14,0.0,0.0,0.0,0.0,0.0,0.5,0,0.017,0.004,33,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,104.361,19.903,33,100.0,1,3.03,32,96.97,0,0.0,0,0.0
gpt-oss-20b-high,33,1,16,16,3.03,48.485,8.242,3.506,272,110,9,404.412,33.088,437.5,228.702,38.515,36.939,1.576,1.742,4209.239,687.227,0.058,0.171,0.171,0.273,0.096,1.0,0,0.069,0.06,32,96.97,0.058,1,3.03,0.058,0.01784,0.01183,1.23913,0.34624,37.21,22.511,32,96.97,16,48.485,0,0.0,0,0.0,16,48.485
gpt-oss-120b-low,46,9,31,6,19.565,13.043,53.435,12.935,2458,667,191,271.359,77.705,349.064,69.722,27.261,16.152,11.109,2.485,1307.456,124.699,0.115,0.097,0.135,0.261,0.117,0.909,0.12,0.416,0.105,35,76.087,0.123,11,23.913,0.123,0.05617,0.01394,0.91412,0.09447,173.249,42.829,35,76.087,31,67.391,0,0.0,0,0.0,4,8.696
gpt-5-chat-2025-08-07,33,0,0,33,0.0,100.0,190.485,13.02,6286,7,113,1.114,17.976,19.09,11.047,12.091,16.303,-4.212,3.018,9.425,0.86,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.952,0.065,2,6.061,0.081,31,93.939,0.081,0.12144,0.00846,0.64091,0.01713,153.553,10.481,2,6.061,0,0.0,0,0.0,0,0.0,2,6.061
gpt-5-mini-2025-08-07-medium,33,27,0,6,81.818,18.182,115.818,18.983,3822,2,33,0.523,8.634,9.158,3.383,24.848,2.97,21.878,3.355,1689.126,72.93,0.132,0.132,0.0,0.909,0.067,0.909,0.067,1.0,0.0,0,0.0,0.0,33,100.0,0.0,0.40257,0.06647,3.44041,0.14709,1874.655,332.664,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-5-nano-2025-08-07-medium,33,30,1,2,90.909,6.061,65.212,16.153,2152,5,27,2.323,12.546,14.87,6.307,33.091,10.788,22.303,3.435,4639.696,257.685,0.098,0.081,0.058,0.939,0.071,0.969,0.043,0.986,0.027,1,3.03,0.058,32,96.97,0.058,0.12188,0.02885,1.85059,0.10338,1314.469,315.639,1,3.03,1,3.03,0,0.0,0,0.0,0,0.0
qwen3-4b-thinking-2507@q8,37,0,34,3,0.0,8.108,90.378,20.486,3344,81,212,24.222,63.397,87.62,31.633,31.081,26.811,4.27,2.811,7094.263,154.801,0.0,0.088,0.088,0.041,0.045,0.5,0.0,0.452,0.102,34,91.892,0.088,3,8.108,0.088,0.0,0.0,0.0,0.0,5339.989,1160.138,34,91.892,24,64.865,10,27.027,0,0.0,0,0.0
gpt-oss-120b-medium,43,11,30,2,25.581,4.651,50.581,12.667,2175,618,173,284.138,79.54,363.678,39.56,29.814,17.791,12.023,3.065,1299.259,106.711,0.13,0.063,0.137,0.279,0.132,0.923,0.102,0.473,0.118,30,69.767,0.137,13,30.233,0.137,0.05293,0.01298,0.9611,0.08073,163.197,39.517,30,69.767,30,69.767,0,0.0,0,0.0,0,0.0
gpt-5-mini-2025-08-07-high,35,31,0,4,88.571,11.429,70.743,14.138,2476,0,18,0.0,7.27,7.27,4.246,33.086,3.857,29.229,3.214,6590.339,320.467,0.105,0.105,0.0,0.943,0.053,0.943,0.053,1.0,0.0,0,0.0,0.0,35,100.0,0.0,0.93946,0.18272,13.16065,0.64207,6181.185,1768.525,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
qwen3-30b-a3b-thinking-2507@q4_k_m,42,11,5,26,26.19,61.905,152.524,18.4,6406,166,270,25.913,42.148,68.061,8.965,18.643,5.071,13.572,2.997,5958.988,103.122,0.133,0.147,0.098,0.571,0.092,0.632,0.08,0.943,0.062,4,9.524,0.089,38,90.476,0.089,0.5518,0.06577,3.62651,0.06208,6390.282,773.966,4,9.524,4,9.524,0,0.0,0,0.0,0,0.0
claude-sonnet-4-5-20250929_thinking_16000,33,12,0,21,36.364,63.636,148.455,18.751,4899,0,10,0.0,2.041,2.041,1.779,12.212,3.152,9.06,3.247,953.907,35.921,0.164,0.164,0.0,0.682,0.083,0.682,0.083,1.0,0.0,0,0.0,0.0,33,100.0,0.0,2.39842,0.30542,16.02579,0.54308,3446.125,502.928,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-haiku-4-5-20251001_thinking_16000,33,10,0,23,30.303,69.697,146.0,19.76,4818,3,4,0.623,0.83,1.453,0.764,10.606,3.212,7.394,3.383,1434.578,72.509,0.157,0.157,0.0,0.652,0.08,0.652,0.08,1.0,0.0,0,0.0,0.0,33,100.0,0.0,1.14511,0.14815,8.13565,0.36452,1784.932,241.853,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-5-mini-2025-08-07-low,33,3,0,30,9.091,90.909,190.636,8.689,6291,0,30,0.0,4.769,4.769,1.664,16.061,4.788,11.273,2.967,290.669,16.455,0.098,0.098,0.0,0.545,0.05,0.545,0.05,1.0,0.0,0,0.0,0.0,33,100.0,0.0,0.13058,0.0078,0.68813,0.03267,844.494,53.674,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-oss-20b-medium,33,1,14,18,3.03,54.545,7.333,2.852,242,82,6,338.843,24.793,363.636,185.343,38.303,36.636,1.667,1.226,4091.326,763.695,0.058,0.17,0.169,0.303,0.095,1.0,0,0.063,0.059,32,96.97,0.058,1,3.03,0.058,0.01539,0.00901,1.08243,0.38477,32.558,17.566,32,96.97,14,42.424,0,0.0,0,0.0,18,54.545
gpt-oss-20b-low,33,1,19,13,3.03,39.394,9.667,3.532,319,106,12,332.288,37.618,369.906,200.355,37.667,35.636,2.031,1.464,3929.781,633.877,0.058,0.167,0.169,0.227,0.096,1.0,0,0.077,0.059,32,96.97,0.058,1,3.03,0.058,0.01942,0.00855,1.38459,0.31591,40.408,16.863,32,96.97,19,57.576,0,0.0,0,0.0,13,39.394
claude-sonnet-4-5-20250929,31,8,1,22,25.806,70.968,167.387,20.96,5189,1,85,0.193,16.381,16.574,5.862,12.871,7.032,5.839,2.722,122.752,2.88,0.154,0.16,0.062,0.613,0.088,0.633,0.08,0.982,0.036,1,3.226,0.062,30,96.774,0.062,0.60521,0.07622,3.59695,0.05538,1269.548,178.619,1,3.226,1,3.226,0,0.0,0,0.0,0,0.0
claude-opus-4-1-20250805,31,1,2,28,3.226,90.323,191.387,9.208,5933,0,50,0.0,8.427,8.427,2.629,6.774,3.194,3.58,2.118,125.99,1.727,0.062,0.104,0.086,0.484,0.055,0.484,0.055,1.0,0.0,0,0.0,0.0,31,100.0,0.0,3.51745,0.17464,18.36965,0.16517,3861.313,1301.415,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-oss-120b-high,43,12,31,0,27.907,0.0,39.814,7.722,1712,484,167,282.71,97.547,380.257,60.211,30.907,19.488,11.419,2.897,1329.63,101.821,0.134,0.0,0.134,0.279,0.136,1.0,0.0,0.424,0.114,31,72.093,0.134,12,27.907,0.134,0.04269,0.00918,0.97511,0.07685,131.493,27.947,31,72.093,31,72.093,0,0.0,0,0.0,0,0.0
claude-haiku-4-5-20251001,33,7,1,25,21.212,75.758,171.061,18.725,5645,0,116,0.0,20.549,20.549,6.573,11.182,6.273,4.909,2.824,152.518,2.136,0.139,0.146,0.058,0.591,0.079,0.591,0.079,1.0,0.0,0,0.0,0.0,33,100.0,0.0,0.23308,0.02585,1.36108,0.01642,602.354,67.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-5-2025-08-07-low,43,41,0,2,95.349,4.651,42.093,8.701,1810,0,1,0.0,0.552,0.552,0.584,35.791,15.442,20.349,3.101,2864.842,190.228,0.063,0.063,0.0,0.977,0.032,0.977,0.032,1.0,0.0,0,0.0,0.0,43,100.0,0.0,1.22424,0.29247,27.41663,1.90586,2399.015,788.093,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
kimi-k2-instruct,33,1,32,0,3.03,0.0,40.909,10.9,1350,43,158,31.852,117.037,148.889,41.789,33.879,33.485,0.394,1.9,180.902,48.401,0.058,0.0,0.058,0.03,0.059,1.0,0,0.227,0.072,32,96.97,0.058,1,3.03,0.058,0.06432,0.01629,2.0232,0.5232,63.49,17.507,32,96.97,16,48.485,16,48.485,0,0.0,0,0.0
gpt-5-nano-2025-08-07-low,33,15,11,7,45.455,21.212,94.97,21.129,3134,103,142,32.865,45.31,78.175,11.108,24.182,8.727,15.455,3.243,1043.788,67.448,0.17,0.139,0.161,0.561,0.152,0.841,0.1,0.771,0.124,11,33.333,0.161,22,66.667,0.161,0.04157,0.00918,0.45564,0.03445,492.554,107.566,11,33.333,0,0.0,11,33.333,0,0.0,0,0.0
qwen-3-235b-a22b-instruct-2507,33,0,5,28,0.0,84.848,188.606,10.722,6224,5,104,0.803,16.71,17.513,5.55,12.788,17.636,-4.848,3.569,112.002,38.397,0.0,0.122,0.122,0.424,0.062,0.438,0.058,0.999,0.001,1,3.03,0.058,32,96.97,0.058,0.08124,0.01411,0.42477,0.06641,1167.845,646.978,1,3.03,0,0.0,1,3.03,0,0.0,0,0.0
grok-3-mini-beta,42,6,0,36,14.286,85.714,190.262,6.928,7991,12,37,1.502,4.63,6.132,1.557,14.786,0.929,13.857,2.652,16.489,1.605,0.106,0.106,0.0,0.571,0.054,0.571,0.054,1.0,0.0,0,0.0,0.0,42,100.0,0.0,0.02445,0.00094,0.12857,0.00174,2515.364,112.275,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-3-7-sonnet-20250219,107,9,17,81,8.411,75.701,174.729,9.62,18696,0,272,0.0,14.549,14.549,4.748,12.093,8.654,3.439,1.537,107.092,1.224,0.053,0.081,0.069,0.463,0.046,0.532,0.036,0.921,0.041,14,13.084,0.064,93,86.916,0.064,0.59401,0.03332,3.39225,0.0188,1098.232,655.253,14,13.084,14,13.084,0,0.0,0,0.0,0,0.0
gemma-3-4b-it@iq4_qs,67,0,67,0,0.0,0.0,7.075,0.797,474,147,114,310.127,240.506,550.633,72.076,38.97,38.985,-0.015,0.029,77.04,4.895,0.0,0.0,0.0,0.0,0.0,0.5,0,0.035,0.004,67,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,100.0,67,100.0,0,0.0,0,0.0,0,0.0
gpt-4-0613,42,0,4,38,0.0,90.476,189.167,10.422,7945,53,31,6.671,3.902,10.573,3.388,14.048,20.667,-6.619,2.461,9.531,0.56,0.0,0.089,0.089,0.452,0.045,0.463,0.04,0.988,0.023,1,2.381,0.046,41,97.619,0.046,2.55082,0.14378,13.47735,0.14009,0.0,0.0,1,2.381,1,2.381,0,0.0,0,0.0,0,0.0
gemini-2.5-pro-preview-05-06,42,20,18,4,47.619,9.524,77.167,14.228,3241,84,101,25.918,31.163,57.081,11.18,28.286,12.095,16.191,3.454,631.702,28.288,0.151,0.089,0.15,0.524,0.145,0.917,0.076,0.691,0.114,18,42.857,0.15,24,57.143,0.15,0.58173,0.10929,7.42834,0.35994,7428.977,1401.752,18,42.857,3,7.143,7,16.667,0,0.0,8,19.048
gpt-4.1-2025-04-14,164,1,12,151,0.61,92.073,135.848,12.233,22279,909,35,40.801,1.571,42.372,5.66,24.195,29.86,-5.665,1.342,18.944,0.672,0.012,0.041,0.04,0.466,0.021,0.451,0.032,0.701,0.062,61,37.195,0.074,103,62.805,0.074,0.19756,0.01801,1.4502,0.01167,261.247,108.061,61,37.195,1,0.61,0,0.0,0,0.0,60,36.585
magistral-small-2506,42,0,42,0,0.0,0.0,9.667,2.078,406,137,86,337.438,211.823,549.261,113.627,38.571,38.548,0.023,0.607,1904.635,1138.718,0.0,0.0,0.0,0.0,0.0,0.5,0,0.048,0.01,42,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,173.129,173.404,42,100.0,39,92.857,3,7.143,0,0.0,0,0.0
gpt-4.5-preview-2025-02-27,44,0,3,41,0.0,93.182,194.5,6.872,8558,0,43,0.0,5.025,5.025,1.951,12.727,10.273,2.454,2.856,8.033,0.017,0.0,0.074,0.074,0.466,0.038,0.466,0.038,1.0,0.0,0,0.0,0.0,44,100.0,0.0,6.48343,0.23741,33.32018,0.22673,293.222,11.587,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
mercury-coder-small,60,0,60,0,0.0,0.0,10.833,1.795,650,0,223,0.0,343.077,343.077,35.053,38.85,38.633,0.217,0.367,837.838,34.22,0.0,0.0,0.0,0.0,0.0,0.5,0,0.054,0.009,60,100.0,0.0,0,0.0,0.0,0.03273,0.0052,3.0523,0.06385,0.0,0.0,60,100.0,60,100.0,0,0.0,0,0.0,0,0.0
claude-3-5-sonnet,59,2,6,51,3.39,86.441,192.186,6.23,11339,0,68,0.0,5.997,5.997,2.075,10.797,13.983,-3.186,2.636,91.328,1.267,0.046,0.087,0.077,0.466,0.047,0.474,0.045,0.989,0.021,1,1.695,0.033,58,98.305,0.033,0.59501,0.02045,3.09295,0.02214,0.0,0.0,1,1.695,1,1.695,0,0.0,0,0.0,0,0.0
claude-3-5-sonnet-v2,61,4,6,51,6.557,83.607,180.377,12.492,11003,0,75,0.0,6.816,6.816,3.242,12.705,15.426,-2.721,2.288,91.151,1.406,0.062,0.093,0.075,0.484,0.051,0.492,0.049,0.988,0.023,1,1.639,0.032,60,98.361,0.032,0.55896,0.03959,3.0834,0.02348,0.0,0.0,1,1.639,1,1.639,0,0.0,0,0.0,0,0.0
